edge_type_id target_query source_query dynamics_params model_template delay
185 node_type_id=='354190013' * AMPA_ExcToExc.json exp2syn 1.7
186 node_type_id=='468120757' * AMPA_ExcToExc.json exp2syn 1.7
187 node_type_id=='468193142' * AMPA_ExcToExc.json exp2syn 1.7
188 node_type_id=='469793303' * AMPA_ExcToExc.json exp2syn 1.7
189 node_type_id=='473601979' * AMPA_ExcToExc.json exp2syn 1.7
190 node_type_id=='476048909' * AMPA_ExcToExc.json exp2syn 1.7
191 node_type_id=='476049169' * AMPA_ExcToExc.json exp2syn 1.7
192 node_type_id=='476131588' * AMPA_ExcToExc.json exp2syn 1.7
193 node_type_id=='476216637' * AMPA_ExcToExc.json exp2syn 1.7
194 node_type_id=='480116737' * AMPA_ExcToExc.json exp2syn 1.7
195 node_type_id=='480169178' * AMPA_ExcToExc.json exp2syn 1.7
196 node_type_id=='480351780' * AMPA_ExcToExc.json exp2syn 1.7
197 node_type_id=='480353286' * AMPA_ExcToExc.json exp2syn 1.7
198 node_type_id=='466632464' * AMPA_ExcToExc.json exp2syn 1.7
199 node_type_id=='471410185' * AMPA_ExcToExc.json exp2syn 1.7
200 node_type_id=='471786879' * AMPA_ExcToExc.json exp2syn 1.7
201 node_type_id=='471789504' * AMPA_ExcToExc.json exp2syn 1.7
202 node_type_id=='471819401' * AMPA_ExcToExc.json exp2syn 1.7
203 node_type_id=='478110866' * AMPA_ExcToInh.json exp2syn 1.7
204 node_type_id=='481001895' * AMPA_ExcToInh.json exp2syn 1.7
205 node_type_id=='481136138' * AMPA_ExcToInh.json exp2syn 1.7
206 node_type_id=='482644550' * AMPA_ExcToInh.json exp2syn 1.7
207 node_type_id=='327962063' * AMPA_ExcToInh.json exp2syn 1.7
208 node_type_id=='464188580' * AMPA_ExcToInh.json exp2syn 1.7
209 node_type_id=='469753383' * AMPA_ExcToInh.json exp2syn 1.7
210 node_type_id=='473943881' * AMPA_ExcToInh.json exp2syn 1.7
211 node_type_id=='474267418' * AMPA_ExcToInh.json exp2syn 1.7
212 node_type_id=='475622680' * AMPA_ExcToInh.json exp2syn 1.7
213 node_type_id=='475622793' * AMPA_ExcToInh.json exp2syn 1.7
214 node_type_id=='479220013' * AMPA_ExcToInh.json exp2syn 1.7
215 node_type_id=='324493977' * AMPA_ExcToInh.json exp2syn 1.7
216 node_type_id=='473540161' * AMPA_ExcToInh.json exp2syn 1.7
