edge_type_id target_query source_query dynamics_params delay model_template
6617 node_type_id=='313861608' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6618 node_type_id=='321023397' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6620 node_type_id=='333785962' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6621 node_type_id=='396608557' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6622 node_type_id=='469610831' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6623 node_type_id=='471077857' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6624 node_type_id=='471085676' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6625 node_type_id=='478793814' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6628 node_type_id=='486783119' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6630 node_type_id=='333604946' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6631 node_type_id=='487667205' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6632 node_type_id=='314642645' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6633 node_type_id=='324025371' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6634 node_type_id=='329550137' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6635 node_type_id=='473020156' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6636 node_type_id=='476616076' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6637 node_type_id=='479179020' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6638 node_type_id=='480087928' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6639 node_type_id=='480124551' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6641 node_type_id=='484679812' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6642 node_type_id=='485836906' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6643 node_type_id=='486502127' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6644 node_type_id=='474626527' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6645 node_type_id=='313862167' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6646 node_type_id=='473016550' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6648 node_type_id=='318733871' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6649 node_type_id=='318808427' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6651 node_type_id=='370351753' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6652 node_type_id=='386049446' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6653 node_type_id=='397351623' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6654 node_type_id=='422738880' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6655 node_type_id=='475459689' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6656 node_type_id=='476455864' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6657 node_type_id=='476457450' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6658 node_type_id=='314804042' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6660 node_type_id=='314831019' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6661 node_type_id=='320207387' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6662 node_type_id=='323865917' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6663 node_type_id=='324025297' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6664 node_type_id=='349621141' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6665 node_type_id=='354190013' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6666 node_type_id=='468120757' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6667 node_type_id=='468193142' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6668 node_type_id=='469793303' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
