edge_type_id target_query source_query dynamics_params delay model_template
206 node_type_id=='485574832' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
207 node_type_id=='485835055' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
208 node_type_id=='485880739' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
209 node_type_id=='486052980' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
210 node_type_id=='486110216' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
211 node_type_id=='487664663' pop_name=='i5Pvalb' GABA_InhToExc.json 0.9 exp2syn
212 node_type_id=='471129934' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
213 node_type_id=='471143169' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
214 node_type_id=='471758398' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
215 node_type_id=='471767045' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
216 node_type_id=='485574832' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
217 node_type_id=='485835055' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
218 node_type_id=='485880739' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
219 node_type_id=='486052980' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
220 node_type_id=='486110216' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
221 node_type_id=='487664663' pop_name=='i4Pvalb' GABA_InhToExc.json 0.9 exp2syn
222 node_type_id=='471129934' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
224 node_type_id=='471143169' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
225 node_type_id=='471758398' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
