node_type_id ei dynamics_params model_template model_processing morphology location population pop_name model_type
485574832 e 485574832_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc VisL5 v1 e5Rbp4 biophysical
485835055 e 485835055_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc VisL5 v1 e5Rbp4 biophysical
485880739 e 485880739_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc VisL5 v1 e5Rbp4 biophysical
486052980 e 486052980_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc VisL5 v1 e5Rbp4 biophysical
486110216 e 486110216_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc VisL5 v1 e5Rbp4 biophysical
487664663 e 487664663_fit.json ctdb:Biophys1.hoc aibs_axon Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc VisL5 v1 e5Rbp4 biophysical
314804042 e 314804042_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc VisL5 v1 e5noRbp4 biophysical
314831019 e 314831019_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc VisL5 v1 e5noRbp4 biophysical
320207387 e 320207387_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc VisL5 v1 e5noRbp4 biophysical
323865917 e 323865917_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc VisL5 v1 e5noRbp4 biophysical
324025297 e 324025297_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc VisL5 v1 e5noRbp4 biophysical
