node_id,stimulus_type,rms_error
0,Syn Inputs,7.098319221901786
0,iClamp,5.535747740806961
1,Syn Inputs,10.923952298989997
1,iClamp,3.4714257907924866
2,Syn Inputs,4.779162437716066
2,iClamp,2.651267029071606
3,Syn Inputs,10.071550170082311
3,iClamp,21.430882348777487
4,Syn Inputs,0.8707153253173596
4,iClamp,7.352099809179905
5,Syn Inputs,0.40122904099366097
5,iClamp,6.670041550261641
6,Syn Inputs,6.26273357397136
6,iClamp,3.435130938983461
7,Syn Inputs,0.6194983464753165
7,iClamp,0.5611908773999383
8,Syn Inputs,0.3734457079900007
8,iClamp,1.768103996102697
9,Syn Inputs,3.2108591255378807
9,iClamp,1.141149478224353
10,Syn Inputs,0.14798238697360597
10,iClamp,5.504305254544356
11,Syn Inputs,2.4206418473652276
11,iClamp,0.0052498946132216884
12,Syn Inputs,0.20152878202325208
12,iClamp,0.8602084593157648
13,Syn Inputs,1.2761563177951898
13,iClamp,0.0058403005239605395
14,Syn Inputs,5.364127939698156
14,iClamp,1.7452298086651226
15,Syn Inputs,0.1385109167255059
15,iClamp,3.4704834088908303
16,Syn Inputs,0.440878383872566
16,iClamp,9.588466122310885
17,Syn Inputs,0.1945580237585741
17,iClamp,1.8317077299380191
18,Syn Inputs,0.7191993276649137
18,iClamp,10.885491818124585
19,Syn Inputs,1.5861739233249639
19,iClamp,5.035328565123573
20,Syn Inputs,2.058327179530132
20,iClamp,5.357541902636894
21,Syn Inputs,5.2442526591469765
21,iClamp,17.3867865474992
22,Syn Inputs,6.621484990117986
22,iClamp,3.2450277068666664
23,Syn Inputs,2.60576290297291
23,iClamp,4.49840040422247
24,Syn Inputs,3.794840806698278
24,iClamp,2.3006376416465497
25,Syn Inputs,1.864560857282791
25,iClamp,2.0828026734032035
26,Syn Inputs,7.256616032865599
26,iClamp,6.361871678957111
27,Syn Inputs,2.816134625989492
27,iClamp,11.994025194339656
28,Syn Inputs,2.3099101704769605
28,iClamp,4.112343511735826
29,Syn Inputs,0.5378824187882244
29,iClamp,6.103274500266608
30,Syn Inputs,1.9763677982529242
30,iClamp,1.2774106451077203
31,Syn Inputs,2.1965218931980477
31,iClamp,0.26543076078018246
32,Syn Inputs,5.3586377234652
32,iClamp,11.401487066046215
33,Syn Inputs,6.687440352625159
33,iClamp,5.4876323181673765
34,Syn Inputs,0.01082110673381021
34,iClamp,2.719635180213451
35,Syn Inputs,2.0795357303526787
35,iClamp,8.60498780128141
36,Syn Inputs,4.169270286334905
36,iClamp,3.4344953582733684
37,Syn Inputs,1.5659174684865311
37,iClamp,7.144347365612256
38,Syn Inputs,3.472532425343879
38,iClamp,2.08727625620761
39,Syn Inputs,5.9584853459327265
39,iClamp,14.73280792714305
40,Syn Inputs,6.9196733856753925
40,iClamp,2.140393672308873
41,Syn Inputs,6.362678091715873
41,iClamp,3.3227337636554064
42,Syn Inputs,3.9257447293473406
42,iClamp,4.77637233897412
43,Syn Inputs,0.5925035924078856
43,iClamp,1.7638465097316307
44,Syn Inputs,0.30325578724632035
44,iClamp,26.103137570413686
45,Syn Inputs,1.9955386727376863
45,iClamp,3.523242368293786
46,Syn Inputs,2.374612932830721
46,iClamp,3.9010427815030537
47,Syn Inputs,0.4701390437050814
47,iClamp,2.7222651859962945
48,Syn Inputs,7.774525090203302
48,iClamp,6.695440080232523
49,Syn Inputs,6.121958834190779
49,iClamp,3.934208004766418
50,Syn Inputs,1.7944931464498448
50,iClamp,2.291639522696799
51,Syn Inputs,1.651616970921053
51,iClamp,1.983661104666713
52,Syn Inputs,5.180369409764089
52,iClamp,5.407289202174443
53,Syn Inputs,2.1550038645041423
53,iClamp,1.8116858300194523
54,Syn Inputs,0.09743381432964177
54,iClamp,1.5605881218737927
55,Syn Inputs,2.8901820362051325
55,iClamp,2.569460609801695
56,Syn Inputs,0.057571228303610424
56,iClamp,1.6724883179815107
57,Syn Inputs,0.07103059687551194
57,iClamp,0.9232324812651628
58,Syn Inputs,0.017770691250097632
58,iClamp,0.8180620336906047
59,Syn Inputs,0.044672377815086525
59,iClamp,0.29580790239669885
60,Syn Inputs,2.94996283952761
60,iClamp,7.0086980499329306
61,Syn Inputs,0.13774542986325677
61,iClamp,12.210175983387552
62,Syn Inputs,0.18930124922953764
62,iClamp,2.847900970982732
63,Syn Inputs,1.6706511216371807
63,iClamp,10.69779136482271
64,Syn Inputs,0.24103605800378183
64,iClamp,3.6874060246651266
65,Syn Inputs,0.12842304708137636
65,iClamp,1.6495963724418397
66,Syn Inputs,0.09697003445447026
66,iClamp,2.6670693043154006
67,Syn Inputs,0.38115447508134387
67,iClamp,9.787648738811583
68,Syn Inputs,2.9147071249347967
68,iClamp,4.485102944744469
69,Syn Inputs,1.037984129051216
69,iClamp,5.239786697260909
70,Syn Inputs,0.44305088096700423
70,iClamp,2.729584803651346
71,Syn Inputs,0.0845970839647584
71,iClamp,7.225719272030235
72,Syn Inputs,0.16657497944305094
72,iClamp,3.228352628970651
73,Syn Inputs,7.181654069765228
73,iClamp,4.279624576046203
74,Syn Inputs,4.8259796118913405
74,iClamp,7.813666604959393
75,Syn Inputs,0.08103802175460115
75,iClamp,2.5386783699894817
76,Syn Inputs,0.9100202373123553
76,iClamp,2.1821653950854993
77,Syn Inputs,7.104574806683907
77,iClamp,15.287430247402211
78,Syn Inputs,1.6604550816388057
78,iClamp,6.7619990197475355
79,Syn Inputs,2.609813850175148
79,iClamp,2.1463639253920017
80,Syn Inputs,0.11302463252711867
80,iClamp,0.5007900181713135
81,Syn Inputs,0.24172556262735287
81,iClamp,2.4836612549175103
82,Syn Inputs,0.010983321841543135
82,iClamp,2.2579842209958536
83,Syn Inputs,0.30900955891256254
83,iClamp,3.570517855105922
84,Syn Inputs,0.09972733684309408
84,iClamp,2.7877390825798463
85,Syn Inputs,0.9594391595178112
85,iClamp,2.28142487387209
86,Syn Inputs,1.3486724885882029
86,iClamp,4.117082125549034
87,Syn Inputs,0.5892523272716592
87,iClamp,0.007995858103594834
88,Syn Inputs,6.407229890133729
88,iClamp,0.9746693384692913
89,Syn Inputs,2.9002992533483294
89,iClamp,1.2880484901394234
90,Syn Inputs,0.456432378387623
90,iClamp,5.4653202268062655
91,Syn Inputs,6.10396592234727
91,iClamp,1.3744123725237787
92,Syn Inputs,4.884616239853546
92,iClamp,4.436226652085436
93,Syn Inputs,0.8969690819942127
93,iClamp,3.8452294099926814
94,Syn Inputs,0.02051842081798816
94,iClamp,3.327628595362398
95,Syn Inputs,0.1789258949256913
95,iClamp,28.48526896962719
96,Syn Inputs,0.234598149717569
96,iClamp,6.942415713965155
97,Syn Inputs,0.10047998823522247
97,iClamp,3.9331634881856976
98,Syn Inputs,0.02087040477127275
98,iClamp,5.310553212477601
99,Syn Inputs,0.03537958404328242
99,iClamp,0.3102599621890387
100,Syn Inputs,0.3276616126800103
100,iClamp,4.865727494444
101,Syn Inputs,0.8062236184679324
101,iClamp,4.4515117267447035
102,Syn Inputs,0.17570527009142936
102,iClamp,1.519131188234638
103,Syn Inputs,0.10851548890189565
103,iClamp,2.7840219893158418
104,Syn Inputs,0.0002237693951335252
104,iClamp,2.2579842209958536
105,Syn Inputs,0.0013005392731100375
105,iClamp,3.570517855105922
106,Syn Inputs,0.11312120231541926
106,iClamp,1.3016220476460618
107,Syn Inputs,0.41228329276783127
107,iClamp,6.094007491986209
108,Syn Inputs,0.41084388978729536
108,iClamp,11.514473186970248
109,Syn Inputs,0.49432321023537196
109,iClamp,1.1126604575097805
110,Syn Inputs,0.13385050049757588
110,iClamp,2.853638318576976
111,Syn Inputs,0.6538403800008387
111,iClamp,2.5349834628197
112,Syn Inputs,0.00424459940741024
112,iClamp,8.08718530684334
113,Syn Inputs,0.16194327622500693
113,iClamp,2.6840248416445602
