,time,gid,lid,kind,population,type
174,167.0,15,0,2,bkg,100
175,169.5,15,0,2,bkg,100
176,170.5,15,0,2,bkg,100
177,170.75,15,0,2,bkg,100
178,171.0,15,0,2,bkg,100
179,172.5,15,0,2,bkg,100
180,176.0,15,0,2,bkg,100
181,176.5,15,0,2,bkg,100
182,177.75,15,0,2,bkg,100
183,179.75,15,0,2,bkg,100
184,180.25,15,0,2,bkg,100
185,181.0,15,0,2,bkg,100
186,181.5,15,0,2,bkg,100
187,181.75,15,0,2,bkg,100
188,182.5,15,0,2,bkg,100
189,183.0,15,0,2,bkg,100
190,183.25,15,0,2,bkg,100
191,183.75,15,0,2,bkg,100
192,184.25,15,0,2,bkg,100
193,184.75,15,0,2,bkg,100
194,185.54160688683942,1,0,0,v1,475622793
195,185.75,15,0,2,bkg,100
196,186.16604246612619,0,0,0,v1,478107198
197,187.5,15,0,2,bkg,100
198,188.75,15,0,2,bkg,100
199,191.0,15,0,2,bkg,100
200,193.75,15,0,2,bkg,100
201,194.0,15,0,2,bkg,100
202,194.75,15,0,2,bkg,100
203,195.25,15,0,2,bkg,100
204,196.0,15,0,2,bkg,100
205,197.25,15,0,2,bkg,100
206,197.75,15,0,2,bkg,100
207,198.0,15,0,2,bkg,100
208,199.0,15,0,2,bkg,100
209,200.0,15,0,2,bkg,100
210,201.25,15,0,2,bkg,100
211,203.0,15,0,2,bkg,100
212,205.5,15,0,2,bkg,100
213,205.75,15,0,2,bkg,100
214,206.25,15,0,2,bkg,100
215,206.5,15,0,2,bkg,100
216,207.0,15,0,2,bkg,100
217,209.5,15,0,2,bkg,100
218,209.75,15,0,2,bkg,100
219,210.25,15,0,2,bkg,100
220,212.5,15,0,2,bkg,100
221,213.0,15,0,2,bkg,100
222,216.0,15,0,2,bkg,100
223,216.75,15,0,2,bkg,100
224,217.0,15,0,2,bkg,100
225,219.0,15,0,2,bkg,100
226,220.5,15,0,2,bkg,100
227,220.75,15,0,2,bkg,100
228,221.5,15,0,2,bkg,100
229,224.5,15,0,2,bkg,100
230,225.5,15,0,2,bkg,100
231,225.75,15,0,2,bkg,100
232,226.0,15,0,2,bkg,100
233,226.25,15,0,2,bkg,100
234,226.5,15,0,2,bkg,100
235,227.75,15,0,2,bkg,100
236,228.0,15,0,2,bkg,100
237,229.22743989642044,1,0,0,v1,475622793
238,229.25,15,0,2,bkg,100
239,230.5,15,0,2,bkg,100
