edge_type_id target_query source_query model_template delay dynamics_params
183 node_type_id=='324025297' * exp2syn 1.7 AMPA_ExcToExc.json
184 node_type_id=='349621141' * exp2syn 1.7 AMPA_ExcToExc.json
185 node_type_id=='354190013' * exp2syn 1.7 AMPA_ExcToExc.json
186 node_type_id=='468120757' * exp2syn 1.7 AMPA_ExcToExc.json
187 node_type_id=='468193142' * exp2syn 1.7 AMPA_ExcToExc.json
188 node_type_id=='469793303' * exp2syn 1.7 AMPA_ExcToExc.json
189 node_type_id=='473601979' * exp2syn 1.7 AMPA_ExcToExc.json
190 node_type_id=='476048909' * exp2syn 1.7 AMPA_ExcToExc.json
191 node_type_id=='476049169' * exp2syn 1.7 AMPA_ExcToExc.json
192 node_type_id=='476131588' * exp2syn 1.7 AMPA_ExcToExc.json
193 node_type_id=='476216637' * exp2syn 1.7 AMPA_ExcToExc.json
194 node_type_id=='480116737' * exp2syn 1.7 AMPA_ExcToExc.json
195 node_type_id=='480169178' * exp2syn 1.7 AMPA_ExcToExc.json
196 node_type_id=='480351780' * exp2syn 1.7 AMPA_ExcToExc.json
197 node_type_id=='480353286' * exp2syn 1.7 AMPA_ExcToExc.json
198 node_type_id=='466632464' * exp2syn 1.7 AMPA_ExcToExc.json
199 node_type_id=='471410185' * exp2syn 1.7 AMPA_ExcToExc.json
200 node_type_id=='471786879' * exp2syn 1.7 AMPA_ExcToExc.json
201 node_type_id=='471789504' * exp2syn 1.7 AMPA_ExcToExc.json
202 node_type_id=='471819401' * exp2syn 1.7 AMPA_ExcToExc.json
203 node_type_id=='478110866' * exp2syn 1.7 AMPA_ExcToInh.json
204 node_type_id=='481001895' * exp2syn 1.7 AMPA_ExcToInh.json
205 node_type_id=='481136138' * exp2syn 1.7 AMPA_ExcToInh.json
206 node_type_id=='482644550' * exp2syn 1.7 AMPA_ExcToInh.json
207 node_type_id=='327962063' * exp2syn 1.7 AMPA_ExcToInh.json
208 node_type_id=='464188580' * exp2syn 1.7 AMPA_ExcToInh.json
209 node_type_id=='469753383' * exp2syn 1.7 AMPA_ExcToInh.json
210 node_type_id=='473943881' * exp2syn 1.7 AMPA_ExcToInh.json
211 node_type_id=='474267418' * exp2syn 1.7 AMPA_ExcToInh.json
212 node_type_id=='475622680' * exp2syn 1.7 AMPA_ExcToInh.json
213 node_type_id=='475622793' * exp2syn 1.7 AMPA_ExcToInh.json
214 node_type_id=='479220013' * exp2syn 1.7 AMPA_ExcToInh.json
215 node_type_id=='324493977' * exp2syn 1.7 AMPA_ExcToInh.json
216 node_type_id=='473540161' * exp2syn 1.7 AMPA_ExcToInh.json
217 node_type_id=='475068599' * exp2syn 1.7 AMPA_ExcToInh.json
218 node_type_id=='476686112' * exp2syn 1.7 AMPA_ExcToInh.json
219 node_type_id=='478110866' * exp2syn 1.7 AMPA_ExcToInh.json
220 node_type_id=='481001895' * exp2syn 1.7 AMPA_ExcToInh.json
221 node_type_id=='481136138' * exp2syn 1.7 AMPA_ExcToInh.json
222 node_type_id=='482644550' * exp2syn 1.7 AMPA_ExcToInh.json
223 node_type_id=='313862306' * exp2syn 1.7 AMPA_ExcToInh.json
224 node_type_id=='323452196' * exp2syn 1.7 AMPA_ExcToInh.json
225 node_type_id=='473564515' * exp2syn 1.7 AMPA_ExcToInh.json
226 node_type_id=='476104386' * exp2syn 1.7 AMPA_ExcToInh.json
227 node_type_id=='476754635' * exp2syn 1.7 AMPA_ExcToInh.json
228 node_type_id=='323475862' * exp2syn 1.7 AMPA_ExcToInh.json
229 node_type_id=='324266189' * exp2syn 1.7 AMPA_ExcToInh.json
230 node_type_id=='324466858' * exp2syn 1.7 AMPA_ExcToInh.json
231 node_type_id=='464198958' * exp2syn 1.7 AMPA_ExcToInh.json
232 node_type_id=='464212183' * exp2syn 1.7 AMPA_ExcToInh.json
233 node_type_id=='466664172' * exp2syn 1.7 AMPA_ExcToInh.json
234 node_type_id=='473543792' * exp2syn 1.7 AMPA_ExcToInh.json
235 node_type_id=='475057898' * exp2syn 1.7 AMPA_ExcToInh.json
236 node_type_id=='475517090' * exp2syn 1.7 AMPA_ExcToInh.json
237 node_type_id=='478396248' * exp2syn 1.7 AMPA_ExcToInh.json
238 node_type_id=='482690728' * exp2syn 1.7 AMPA_ExcToInh.json
239 node_type_id=='475585413' * exp2syn 1.7 AMPA_ExcToInh.json
240 node_type_id=='478107198' * exp2syn 1.7 AMPA_ExcToInh.json
241 node_type_id=='100000101' * exp2syn 1.7 instanteneousExc.json
242 node_type_id=='100000102' * exp2syn 1.7 instanteneousExc.json
243 node_type_id=='100000103' * exp2syn 1.7 instanteneousExc.json
244 node_type_id=='100000104' * exp2syn 1.7 instanteneousExc.json
245 node_type_id=='100000105' * exp2syn 1.7 instanteneousExc.json
246 node_type_id=='100000110' * exp2syn 1.7 instanteneousExc.json
247 node_type_id=='100000111' * exp2syn 1.7 instanteneousExc.json
248 node_type_id=='100000112' * exp2syn 1.7 instanteneousExc.json
249 node_type_id=='100000108' * exp2syn 1.7 instanteneousExc.json
250 node_type_id=='100000114' * exp2syn 1.7 instanteneousExc.json
251 node_type_id=='100000115' * exp2syn 1.7 instanteneousExc.json
252 node_type_id=='100000116' * exp2syn 1.7 instanteneousExc.json
253 node_type_id=='100000119' * exp2syn 1.7 instanteneousExc.json
254 node_type_id=='100000121' * exp2syn 1.7 instanteneousExc.json
255 node_type_id=='100000106' * exp2syn 1.7 instanteneousExc.json
256 node_type_id=='100000107' * exp2syn 1.7 instanteneousExc.json
257 node_type_id=='100000113' * exp2syn 1.7 instanteneousExc.json
258 node_type_id=='100000109' * exp2syn 1.7 instanteneousExc.json
259 node_type_id=='100000120' * exp2syn 1.7 instanteneousExc.json
260 node_type_id=='100000118' * exp2syn 1.7 instanteneousExc.json
261 node_type_id=='100000117' * exp2syn 1.7 instanteneousExc.json
