edge_type_id target_query source_query model_template delay dynamics_params
206 node_type_id=='485574832' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
207 node_type_id=='485835055' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
208 node_type_id=='485880739' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
209 node_type_id=='486052980' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
210 node_type_id=='486110216' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
211 node_type_id=='487664663' pop_name=='i5Pvalb' exp2syn 0.9 GABA_InhToExc.json
212 node_type_id=='471129934' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
213 node_type_id=='471143169' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
214 node_type_id=='471758398' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
215 node_type_id=='471767045' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
216 node_type_id=='485574832' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
217 node_type_id=='485835055' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
218 node_type_id=='485880739' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
219 node_type_id=='486052980' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
220 node_type_id=='486110216' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
221 node_type_id=='487664663' pop_name=='i4Pvalb' exp2syn 0.9 GABA_InhToExc.json
222 node_type_id=='471129934' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
224 node_type_id=='471143169' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
225 node_type_id=='471758398' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
226 node_type_id=='471767045' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
228 node_type_id=='485574832' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
230 node_type_id=='485835055' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
232 node_type_id=='485880739' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
234 node_type_id=='486052980' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
236 node_type_id=='486110216' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
237 node_type_id=='487664663' pop_name=='e4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' exp2syn 1.5 AMPA_ExcToExc.json
239 node_type_id=='471129934' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
240 node_type_id=='471758398' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
241 node_type_id=='471767045' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
242 node_type_id=='485574832' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
243 node_type_id=='485835055' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
244 node_type_id=='485880739' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
245 node_type_id=='486052980' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
246 node_type_id=='486110216' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
247 node_type_id=='487664663' pop_name=='i4Sst' exp2syn 1.5 GABA_InhToExc.json
248 node_type_id=='471129934' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
249 node_type_id=='471143169' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
250 node_type_id=='471758398' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
251 node_type_id=='471767045' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
252 node_type_id=='485574832' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
253 node_type_id=='485835055' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
254 node_type_id=='485880739' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
255 node_type_id=='486052980' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
256 node_type_id=='486110216' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
257 node_type_id=='487664663' pop_name=='e4Nr5a1' exp2syn 1.5 AMPA_ExcToExc.json
258 node_type_id=='471129934' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
259 node_type_id=='471143169' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
