edge_type_id target_query source_query dynamics_params delay model_template
149 node_type_id=='318331342' * AMPA_ExcToInh.json 1.7 exp2syn
150 node_type_id=='333604946' * AMPA_ExcToInh.json 1.7 exp2syn
151 node_type_id=='487667205' * AMPA_ExcToInh.json 1.7 exp2syn
152 node_type_id=='314642645' * AMPA_ExcToExc.json 1.7 exp2syn
153 node_type_id=='324025371' * AMPA_ExcToExc.json 1.7 exp2syn
154 node_type_id=='329550137' * AMPA_ExcToExc.json 1.7 exp2syn
155 node_type_id=='473020156' * AMPA_ExcToExc.json 1.7 exp2syn
156 node_type_id=='476616076' * AMPA_ExcToExc.json 1.7 exp2syn
157 node_type_id=='479179020' * AMPA_ExcToExc.json 1.7 exp2syn
158 node_type_id=='480087928' * AMPA_ExcToExc.json 1.7 exp2syn
159 node_type_id=='480124551' * AMPA_ExcToExc.json 1.7 exp2syn
160 node_type_id=='484564503' * AMPA_ExcToExc.json 1.7 exp2syn
161 node_type_id=='484679812' * AMPA_ExcToExc.json 1.7 exp2syn
162 node_type_id=='485836906' * AMPA_ExcToExc.json 1.7 exp2syn
163 node_type_id=='486502127' * AMPA_ExcToExc.json 1.7 exp2syn
164 node_type_id=='474626527' * AMPA_ExcToInh.json 1.7 exp2syn
165 node_type_id=='313862167' * AMPA_ExcToInh.json 1.7 exp2syn
166 node_type_id=='473016550' * AMPA_ExcToInh.json 1.7 exp2syn
167 node_type_id=='485058595' * AMPA_ExcToInh.json 1.7 exp2syn
168 node_type_id=='318733871' * AMPA_ExcToExc.json 1.7 exp2syn
169 node_type_id=='318808427' * AMPA_ExcToExc.json 1.7 exp2syn
170 node_type_id=='321906005' * AMPA_ExcToExc.json 1.7 exp2syn
171 node_type_id=='370351753' * AMPA_ExcToExc.json 1.7 exp2syn
172 node_type_id=='386049446' * AMPA_ExcToExc.json 1.7 exp2syn
173 node_type_id=='397351623' * AMPA_ExcToExc.json 1.7 exp2syn
174 node_type_id=='422738880' * AMPA_ExcToExc.json 1.7 exp2syn
175 node_type_id=='475459689' * AMPA_ExcToExc.json 1.7 exp2syn
176 node_type_id=='476455864' * AMPA_ExcToExc.json 1.7 exp2syn
177 node_type_id=='476457450' * AMPA_ExcToExc.json 1.7 exp2syn
178 node_type_id=='314804042' * AMPA_ExcToExc.json 1.7 exp2syn
179 node_type_id=='314822529' * AMPA_ExcToExc.json 1.7 exp2syn
180 node_type_id=='314831019' * AMPA_ExcToExc.json 1.7 exp2syn
181 node_type_id=='320207387' * AMPA_ExcToExc.json 1.7 exp2syn
182 node_type_id=='323865917' * AMPA_ExcToExc.json 1.7 exp2syn
183 node_type_id=='324025297' * AMPA_ExcToExc.json 1.7 exp2syn
184 node_type_id=='349621141' * AMPA_ExcToExc.json 1.7 exp2syn
185 node_type_id=='354190013' * AMPA_ExcToExc.json 1.7 exp2syn
186 node_type_id=='468120757' * AMPA_ExcToExc.json 1.7 exp2syn
187 node_type_id=='468193142' * AMPA_ExcToExc.json 1.7 exp2syn
188 node_type_id=='469793303' * AMPA_ExcToExc.json 1.7 exp2syn
189 node_type_id=='473601979' * AMPA_ExcToExc.json 1.7 exp2syn
190 node_type_id=='476048909' * AMPA_ExcToExc.json 1.7 exp2syn
191 node_type_id=='476049169' * AMPA_ExcToExc.json 1.7 exp2syn
192 node_type_id=='476131588' * AMPA_ExcToExc.json 1.7 exp2syn
193 node_type_id=='476216637' * AMPA_ExcToExc.json 1.7 exp2syn
194 node_type_id=='480116737' * AMPA_ExcToExc.json 1.7 exp2syn
195 node_type_id=='480169178' * AMPA_ExcToExc.json 1.7 exp2syn
196 node_type_id=='480351780' * AMPA_ExcToExc.json 1.7 exp2syn
197 node_type_id=='480353286' * AMPA_ExcToExc.json 1.7 exp2syn
198 node_type_id=='466632464' * AMPA_ExcToExc.json 1.7 exp2syn
199 node_type_id=='471410185' * AMPA_ExcToExc.json 1.7 exp2syn
200 node_type_id=='471786879' * AMPA_ExcToExc.json 1.7 exp2syn
201 node_type_id=='471789504' * AMPA_ExcToExc.json 1.7 exp2syn
202 node_type_id=='471819401' * AMPA_ExcToExc.json 1.7 exp2syn
203 node_type_id=='478110866' * AMPA_ExcToInh.json 1.7 exp2syn
204 node_type_id=='481001895' * AMPA_ExcToInh.json 1.7 exp2syn
205 node_type_id=='481136138' * AMPA_ExcToInh.json 1.7 exp2syn
206 node_type_id=='482644550' * AMPA_ExcToInh.json 1.7 exp2syn
207 node_type_id=='327962063' * AMPA_ExcToInh.json 1.7 exp2syn
208 node_type_id=='464188580' * AMPA_ExcToInh.json 1.7 exp2syn
209 node_type_id=='469753383' * AMPA_ExcToInh.json 1.7 exp2syn
210 node_type_id=='473943881' * AMPA_ExcToInh.json 1.7 exp2syn
211 node_type_id=='474267418' * AMPA_ExcToInh.json 1.7 exp2syn
212 node_type_id=='475622680' * AMPA_ExcToInh.json 1.7 exp2syn
213 node_type_id=='475622793' * AMPA_ExcToInh.json 1.7 exp2syn
214 node_type_id=='479220013' * AMPA_ExcToInh.json 1.7 exp2syn
215 node_type_id=='324493977' * AMPA_ExcToInh.json 1.7 exp2syn
216 node_type_id=='473540161' * AMPA_ExcToInh.json 1.7 exp2syn
217 node_type_id=='475068599' * AMPA_ExcToInh.json 1.7 exp2syn
218 node_type_id=='476686112' * AMPA_ExcToInh.json 1.7 exp2syn
219 node_type_id=='478110866' * AMPA_ExcToInh.json 1.7 exp2syn
220 node_type_id=='481001895' * AMPA_ExcToInh.json 1.7 exp2syn
221 node_type_id=='481136138' * AMPA_ExcToInh.json 1.7 exp2syn
222 node_type_id=='482644550' * AMPA_ExcToInh.json 1.7 exp2syn
223 node_type_id=='313862306' * AMPA_ExcToInh.json 1.7 exp2syn
224 node_type_id=='323452196' * AMPA_ExcToInh.json 1.7 exp2syn
225 node_type_id=='473564515' * AMPA_ExcToInh.json 1.7 exp2syn
226 node_type_id=='476104386' * AMPA_ExcToInh.json 1.7 exp2syn
227 node_type_id=='476754635' * AMPA_ExcToInh.json 1.7 exp2syn
228 node_type_id=='323475862' * AMPA_ExcToInh.json 1.7 exp2syn
229 node_type_id=='324266189' * AMPA_ExcToInh.json 1.7 exp2syn
230 node_type_id=='324466858' * AMPA_ExcToInh.json 1.7 exp2syn
231 node_type_id=='464198958' * AMPA_ExcToInh.json 1.7 exp2syn
232 node_type_id=='464212183' * AMPA_ExcToInh.json 1.7 exp2syn
233 node_type_id=='466664172' * AMPA_ExcToInh.json 1.7 exp2syn
234 node_type_id=='473543792' * AMPA_ExcToInh.json 1.7 exp2syn
235 node_type_id=='475057898' * AMPA_ExcToInh.json 1.7 exp2syn
236 node_type_id=='475517090' * AMPA_ExcToInh.json 1.7 exp2syn
237 node_type_id=='478396248' * AMPA_ExcToInh.json 1.7 exp2syn
238 node_type_id=='482690728' * AMPA_ExcToInh.json 1.7 exp2syn
239 node_type_id=='475585413' * AMPA_ExcToInh.json 1.7 exp2syn
240 node_type_id=='478107198' * AMPA_ExcToInh.json 1.7 exp2syn
241 node_type_id=='100000101' * instanteneousExc.json 1.7 exp2syn
242 node_type_id=='100000102' * instanteneousExc.json 1.7 exp2syn
243 node_type_id=='100000103' * instanteneousExc.json 1.7 exp2syn
244 node_type_id=='100000104' * instanteneousExc.json 1.7 exp2syn
245 node_type_id=='100000105' * instanteneousExc.json 1.7 exp2syn
246 node_type_id=='100000110' * instanteneousExc.json 1.7 exp2syn
247 node_type_id=='100000111' * instanteneousExc.json 1.7 exp2syn
248 node_type_id=='100000112' * instanteneousExc.json 1.7 exp2syn
249 node_type_id=='100000108' * instanteneousExc.json 1.7 exp2syn
250 node_type_id=='100000114' * instanteneousExc.json 1.7 exp2syn
251 node_type_id=='100000115' * instanteneousExc.json 1.7 exp2syn
252 node_type_id=='100000116' * instanteneousExc.json 1.7 exp2syn
253 node_type_id=='100000119' * instanteneousExc.json 1.7 exp2syn
254 node_type_id=='100000121' * instanteneousExc.json 1.7 exp2syn
255 node_type_id=='100000106' * instanteneousExc.json 1.7 exp2syn
256 node_type_id=='100000107' * instanteneousExc.json 1.7 exp2syn
257 node_type_id=='100000113' * instanteneousExc.json 1.7 exp2syn
258 node_type_id=='100000109' * instanteneousExc.json 1.7 exp2syn
259 node_type_id=='100000120' * instanteneousExc.json 1.7 exp2syn
260 node_type_id=='100000118' * instanteneousExc.json 1.7 exp2syn
261 node_type_id=='100000117' * instanteneousExc.json 1.7 exp2syn
