t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-79.98852731501049,-79.98852731501049
0.02,-79.98202558573756,-79.98202558573756
0.03,-79.97779334576248,-79.97779334576248
0.04,-79.9748771193754,-79.9748771193754
0.05,-79.97282693782793,-79.97282693782793
0.06,-79.97139276482233,-79.97139276482233
0.07,-79.97041998782645,-79.97041998782645
0.08,-79.96980557667152,-79.96980557667152
0.09,-79.96947705759189,-79.96947705759189
0.1,-79.96938136266257,-79.96938136266257
0.11,-79.96947842607642,-79.96947842607642
0.12,-79.96973726260401,-79.96973726260401
0.13,-79.97013343867513,-79.97013343867513
0.14,-79.97064737245087,-79.97064737245087
0.15,-79.97126315243854,-79.97126315243854
0.16,-79.97196769392953,-79.97196769392953
0.17,-79.97275012299357,-79.97275012299357
0.18,-79.97360131817929,-79.97360131817929
0.19,-79.97451356383186,-79.97451356383186
0.2,-79.97548028406489,-79.97548028406489
0.21,-79.97649583605963,-79.97649583605963
0.22,-79.97755534753459,-79.97755534753459
0.23,-79.97865458765087,-79.97865458765087
0.24,-79.97978986337783,-79.97978986337783
0.25,-79.98095793568942,-79.98095793568942
0.26,-79.98215595117104,-79.98215595117104
0.27,-79.98338138572893,-79.98338138572893
0.28,-79.98463199813014,-79.98463199813014
0.29,-79.98590579115076,-79.98590579115076
0.3,-79.9872009790598,-79.9872009790598
0.31,-79.9885159602393,-79.9885159602393
0.32,-79.9898492939274,-79.9898492939274
0.33,-79.99119968045314,-79.99119968045314
0.34,-79.99256594431905,-79.99256594431905
0.35000000000000003,-79.99394701962616,-79.99394701962616
0.36,-79.99534193756632,-79.99534193756632
0.37,-79.99674981553125,-79.99674981553125
0.38,-79.99816984767985,-79.99816984767985
0.39,-79.99960129671591,-79.99960129671591
0.4,-80.0010434866405,-80.0010434866405
0.41000000000000003,-80.00249579647964,-80.00249579647964
0.42,-80.00395765471268,-80.00395765471268
0.43,-80.00542853432358,-80.00542853432358
0.44,-80.00690794851528,-80.00690794851528
0.45,-80.0083954468267,-80.0083954468267
0.46,-80.00989061172407,-80.00989061172407
0.47000000000000003,-80.01139305556502,-80.01139305556502
0.48,-80.01290241785935,-80.01290241785935
0.49,-80.01441836286625,-80.01441836286625
0.5,-80.01594057740216,-80.01594057740216
0.51,-80.01746876889081,-80.01746876889081
0.52,-80.0190026636234,-80.0190026636234
0.53,-80.02054200517192,-80.02054200517192
0.54,-80.02208655295591,-80.02208655295591
0.55,-80.02363608098332,-80.02363608098332
0.56,-80.02519037665786,-80.02519037665786
0.5700000000000001,-80.02674923976276,-80.02674923976276
0.58,-80.02831248148827,-80.02831248148827
0.59,-80.02987992355686,-80.02987992355686
0.6,-80.03145139744878,-80.03145139744878
0.61,-80.03302674369752,-80.03302674369752
0.62,-80.03460581122643,-80.03460581122643
0.63,-80.0361884567491,-80.0361884567491
0.64,-80.03777454422232,-80.03777454422232
0.65,-80.03936394436984,-80.03936394436984
0.66,-80.04095653421521,-80.04095653421521
0.67,-80.04255219665652,-80.04255219665652
0.68,-80.04415082009984,-80.04415082009984
0.6900000000000001,-80.04575229808644,-80.04575229808644
0.7000000000000001,-80.04735652899197,-80.04735652899197
0.71,-80.04896341571809,-80.04896341571809
0.72,-80.05057286542001,-80.05057286542001
0.73,-80.05218478923909,-80.05218478923909
0.74,-80.05379910208747,-80.05379910208747
0.75,-80.05541572241589,-80.05541572241589
0.76,-80.05703457203325,-80.05703457203325
0.77,-80.05865557587583,-80.05865557587583
0.78,-80.06027866189781,-80.06027866189781
0.79,-80.06190376087947,-80.06190376087947
0.8,-80.06353080623921,-80.06353080623921
0.81,-80.06515973396046,-80.06515973396046
0.8200000000000001,-80.0667904824345,-80.0667904824345
0.8300000000000001,-80.0684229923081,-80.0684229923081
0.84,-80.07005720642725,-80.07005720642725
0.85,-80.0716930696884,-80.0716930696884
0.8500000238418579,-80.07169307358647,-80.07169307358647
0.8600000238418579,-80.07333053286295,-80.07333053286295
0.8700000238418579,-80.07496953687372,-80.07496953687372
0.8800000238418579,-80.0766100361475,-80.0766100361475
0.890000023841858,-80.07825198289993,-80.07825198289993
0.900000023841858,-80.07989533099027,-80.07989533099027
0.910000023841858,-80.08154003581336,-80.08154003581336
0.9200000238418579,-80.08318605424775,-80.08318605424775
0.9300000238418579,-80.08483334459213,-80.08483334459213
0.9400000238418579,-80.08648186651764,-80.08648186651764
0.9500000238418579,-80.08813158099126,-80.08813158099126
0.9600000238418579,-80.08978245021333,-80.08978245021333
0.9700000238418579,-80.0914344375851,-80.0914344375851
0.9800000238418579,-80.09308750766951,-80.09308750766951
0.9900000238418579,-80.0947416261226,-80.0947416261226
