t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.02074267144322,-80.02074267144322
0.02,-80.04035180189129,-80.04035180189129
0.03,-80.05910151796887,-80.05910151796887
0.04,-80.07713581861952,-80.07713581861952
0.05,-80.09454805468815,-80.09454805468815
0.06,-80.11140601503404,-80.11140601503404
0.07,-80.12776220930274,-80.12776220930274
0.08,-80.14365899429548,-80.14365899429548
0.09,-80.15913150233587,-80.15913150233587
0.1,-80.17420947832014,-80.17420947832014
0.11,-80.1889185109447,-80.1889185109447
0.12,-80.2032808988549,-80.2032808988549
0.13,-80.21731628276184,-80.21731628276184
0.14,-80.23104212024778,-80.23104212024778
0.15,-80.24447405079887,-80.24447405079887
0.16,-80.25762618188182,-80.25762618188182
0.17,-80.2705113167896,-80.2705113167896
0.18,-80.28314113864177,-80.28314113864177
0.19,-80.29552636077328,-80.29552636077328
0.2,-80.30767685095299,-80.30767685095299
0.21,-80.31960173495476,-80.31960173495476
0.22,-80.33130948363757,-80.33130948363757
0.23,-80.34280798672562,-80.34280798672562
0.24,-80.3541046157423,-80.3541046157423
0.25,-80.36520627803027,-80.36520627803027
0.26,-80.37611946339042,-80.37611946339042
0.27,-80.38685028455788,-80.38685028455788
0.28,-80.3974045125027,-80.3974045125027
0.29,-80.4077876073466,-80.4077876073466
0.3,-80.41800474556304,-80.41800474556304
0.31,-80.42806084398953,-80.42806084398953
0.32,-80.43796058111458,-80.43796058111458
0.33,-80.44770841599897,-80.44770841599897
0.34,-80.45730860515171,-80.45730860515171
0.35000000000000003,-80.46676521763307,-80.46676521763307
0.36,-80.47608214859883,-80.47608214859883
0.37,-80.48526313148334,-80.48526313148334
0.38,-80.494311748991,-80.494311748991
0.39,-80.5032314430271,-80.5032314430271
0.4,-80.51202552370162,-80.51202552370162
0.41000000000000003,-80.52069717750285,-80.52069717750285
0.42,-80.529249474738,-80.529249474738
0.43,-80.53768537632384,-80.53768537632384
0.44,-80.54600773998494,-80.54600773998494
0.45,-80.55421932594457,-80.55421932594457
0.46,-80.56232280213547,-80.56232280213547
0.47000000000000003,-80.57032074899608,-80.57032074899608
0.48,-80.57821566389356,-80.57821566389356
0.49,-80.58600996520242,-80.58600996520242
0.5,-80.5937059960766,-80.5937059960766
0.51,-80.6013060279506,-80.6013060279506
0.52,-80.60881226378152,-80.60881226378152
0.53,-80.6162268410714,-80.6162268410714
0.54,-80.62355183468185,-80.62355183468185
