t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.08460051598597,-80.08460051598597
0.02,-80.16389898083649,-80.16389898083649
0.03,-80.23935176583726,-80.23935176583726
0.04,-80.31165402717437,-80.31165402717437
0.05,-80.38125202492697,-80.38125202492697
0.06,-80.44846728113794,-80.44846728113794
0.07,-80.5135454056732,-80.5135454056732
0.08,-80.57668151394827,-80.57668151394827
0.09,-80.63803532661196,-80.63803532661196
0.1,-80.69774078180879,-80.69774078180879
0.11,-80.755912429841,-80.755912429841
0.12,-80.81264983020505,-80.81264983020505
0.13,-80.86804066016325,-80.86804066016325
0.14,-80.92216296824685,-80.92216296824685
0.15,-80.97508684686326,-80.97508684686326
0.16,-81.0268757020257,-81.0268757020257
0.17,-81.07758723812876,-81.07758723812876
0.18,-81.12727423733405,-81.12727423733405
0.19,-81.17598518804303,-81.17598518804303
0.2,-81.22376480037585,-81.22376480037585
0.21,-81.27065443540874,-81.27065443540874
0.22,-81.31669246736537,-81.31669246736537
0.23,-81.36191459274515,-81.36191459274515
0.24,-81.40635409673438,-81.40635409673438
0.25,-81.45004208471049,-81.45004208471049
0.26,-81.49300768480175,-81.49300768480175
0.27,-81.53527822617055,-81.53527822617055
0.28,-81.57687939669758,-81.57687939669758
0.29,-81.61783538304876,-81.61783538304876
0.3,-81.65816899553445,-81.65816899553445
0.31,-81.69790177977133,-81.69790177977133
0.32,-81.73705411682259,-81.73705411682259
0.33,-81.77564531323279,-81.77564531323279
0.34,-81.81369368216309,-81.81369368216309
0.35000000000000003,-81.85121661666265,-81.85121661666265
0.36,-81.88823065597907,-81.88823065597907
0.37,-81.92475154568045,-81.92475154568045
0.38,-81.96079429226567,-81.96079429226567
0.39,-81.99637321286404,-81.99637321286404
0.4,-82.03150198054614,-82.03150198054614
0.41000000000000003,-82.06619366569628,-82.06619366569628
0.42,-82.10046077387108,-82.10046077387108
0.43,-82.13431528048255,-82.13431528048255
0.44,-82.16776866264017,-82.16776866264017
0.45,-82.20083192842597,-82.20083192842597
0.46,-82.2335156438585,-82.2335156438585
0.47000000000000003,-82.2658299577652,-82.2658299577652
0.48,-82.29778462476565,-82.29778462476565
0.49,-82.32938902653731,-82.32938902653731
0.5,-82.36065219153843,-82.36065219153843
0.51,-82.39158281330307,-82.39158281330307
0.52,-82.42218926746617,-82.42218926746617
0.53,-82.45247962760412,-82.45247962760412
0.54,-82.48246168001788,-82.48246168001788
0.55,-82.51214293752857,-82.51214293752857
0.56,-82.54153065238985,-82.54153065238985
0.5700000000000001,-82.57063182836553,-82.57063182836553
0.58,-82.59945323206948,-82.59945323206948
0.59,-82.62800140360193,-82.62800140360193
0.6,-82.656282666551,-82.656282666551
0.61,-82.68430313740856,-82.68430313740856
0.62,-82.71206873444069,-82.71206873444069
0.63,-82.73958518605406,-82.73958518605406
0.64,-82.76685803869697,-82.76685803869697
0.65,-82.79389266433449,-82.79389266433449
0.66,-82.82069426751242,-82.82069426751242
0.67,-82.8472678920568,-82.8472678920568
0.68,-82.87361842741738,-82.87361842741738
0.6900000000000001,-82.89975061469643,-82.89975061469643
0.7000000000000001,-82.92566905236778,-82.92566905236778
0.71,-82.95137820171551,-82.95137820171551
0.72,-82.97688239200868,-82.97688239200868
0.73,-83.00218582542152,-83.00218582542152
0.74,-83.02729258173122,-83.02729258173122
0.75,-83.05220662278725,-83.05220662278725
0.76,-83.07693179678081,-83.07693179678081
0.77,-83.10147184231654,-83.10147184231654
0.78,-83.1258303923046,-83.1258303923046
0.79,-83.15001097768143,-83.15001097768143
0.8,-83.17401703096044,-83.17401703096044
0.81,-83.1978518896428,-83.1978518896428
0.8200000000000001,-83.22151879946914,-83.22151879946914
