t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.07062475282004,-80.07062475282004
0.02,-80.12775466808579,-80.12775466808579
0.03,-80.17654496040487,-80.17654496040487
0.04,-80.2195664053095,-80.2195664053095
0.05,-80.25832410919082,-80.25832410919082
0.06,-80.29378613234343,-80.29378613234343
0.07,-80.32661458185859,-80.32661458185859
0.08,-80.35728223736892,-80.35728223736892
0.09,-80.38613775263876,-80.38613775263876
0.1,-80.41344493283383,-80.41344493283383
0.11,-80.43940774135204,-80.43940774135204
0.12,-80.46418689685939,-80.46418689685939
0.13,-80.48791124313385,-80.48791124313385
0.14,-80.51068573191945,-80.51068573191945
0.15,-80.53259713854942,-80.53259713854942
0.16,-80.55371822082793,-80.55371822082793
0.17,-80.57411078701696,-80.57411078701696
0.18,-80.59382798664454,-80.59382798664454
0.19,-80.61291604003394,-80.61291604003394
0.2,-80.6314155576046,-80.6314155576046
0.21,-80.6493625562533,-80.6493625562533
0.22,-80.66678924987596,-80.66678924987596
0.23,-80.6837246700275,-80.6837246700275
0.24,-80.70019515777275,-80.70019515777275
0.25,-80.71622475703292,-80.71622475703292
0.26,-80.73183553207654,-80.73183553207654
0.27,-80.74704782605751,-80.74704782605751
0.28,-80.76188047347527,-80.76188047347527
0.29,-80.77635097629087,-80.77635097629087
0.3,-80.79047565117918,-80.79047565117918
0.31,-80.80426975368749,-80.80426975368749
0.32,-80.81774758377225,-80.81774758377225
0.33,-80.83092257620953,-80.83092257620953
0.34,-80.8438073786258,-80.8438073786258
0.35000000000000003,-80.85641391933909,-80.85641391933909
0.36,-80.8687534667041,-80.8687534667041
0.37,-80.88083668140929,-80.88083668140929
0.38,-80.8926736627782,-80.8926736627782
0.39,-80.90427399001467,-80.90427399001467
0.4,-80.91564675916473,-80.91564675916473
0.41000000000000003,-80.92680061632097,-80.92680061632097
0.42,-80.93774378765181,-80.93774378765181
0.43,-80.94848410663168,-80.94848410663168
0.44,-80.95902903884667,-80.95902903884667
0.45,-80.9693857046572,-80.9693857046572
0.46,-80.97956089993866,-80.97956089993866
0.47000000000000003,-80.98956111518731,-80.98956111518731
0.48,-80.99939255309236,-80.99939255309236
0.49,-81.00906114478698,-81.00906114478698
0.5,-81.01857256489217,-81.01857256489217
0.51,-81.02793224545846,-81.02793224545846
0.52,-81.0371453889417,-81.0371453889417
0.53,-81.0462169802824,-81.0462169802824
0.54,-81.0551517981571,-81.0551517981571
0.55,-81.06395442549632,-81.06395442549632
0.56,-81.07262925934185,-81.07262925934185
0.5700000000000001,-81.08118052003675,-81.08118052003675
0.58,-81.08961225988091,-81.08961225988091
0.59,-81.09792837124553,-81.09792837124553
0.6,-81.10613259418759,-81.10613259418759
0.61,-81.11422852363772,-81.11422852363772
0.62,-81.12221961614186,-81.12221961614186
0.63,-81.13010919624956,-81.13010919624956
0.64,-81.13790046251,-81.13790046251
0.65,-81.14559649314104,-81.14559649314104
0.66,-81.15320025141298,-81.15320025141298
0.67,-81.16071459069795,-81.16071459069795
0.68,-81.16814225928815,-81.16814225928815
0.6900000000000001,-81.17548590493631,-81.17548590493631
0.7000000000000001,-81.18274807916778,-81.18274807916778
0.71,-81.18993124135629,-81.18993124135629
0.72,-81.19703776263208,-81.19703776263208
0.73,-81.20406992953443,-81.20406992953443
0.74,-81.21102994752928,-81.21102994752928
0.75,-81.21791994433082,-81.21791994433082
0.76,-81.2247419730768,-81.2247419730768
0.77,-81.23149801533191,-81.23149801533191
0.78,-81.23818998396,-81.23818998396
0.79,-81.24481972585606,-81.24481972585606
0.8,-81.25138902455777,-81.25138902455777
0.81,-81.25789960272233,-81.25789960272233
0.8200000000000001,-81.2643531245071,-81.2643531245071
0.8300000000000001,-81.27075119782144,-81.27075119782144
0.84,-81.27709537649623,-81.27709537649623
0.85,-81.28338716233986,-81.28338716233986
0.8500000238418579,-81.28338717729349,-81.28338717729349
0.8600000238418579,-81.28962802196644,-81.28962802196644
0.8700000238418579,-81.29581932917928,-81.29581932917928
0.8800000238418579,-81.30196245619221,-81.30196245619221
0.890000023841858,-81.30805871563422,-81.30805871563422
0.900000023841858,-81.31410937715285,-81.31410937715285
0.910000023841858,-81.32011566901033,-81.32011566901033
0.9200000238418579,-81.32607877957633,-81.32607877957633
0.9300000238418579,-81.33199985880856,-81.33199985880856
0.9400000238418579,-81.33788001961484,-81.33788001961484
0.9500000238418579,-81.34372033921183,-81.34372033921183
0.9600000238418579,-81.34952186038811,-81.34952186038811
0.9700000238418579,-81.35528559274573,-81.35528559274573
0.9800000238418579,-81.36101251386063,-81.36101251386063
0.9900000238418579,-81.36670357042792,-81.36670357042792
1.0000000238418578,-81.37235967934548,-81.37235967934548
1.0100000238418578,-81.3779817287427,-81.3779817287427
1.0200000238418578,-81.38357057900646,-81.38357057900646
1.0300000238418578,-81.38912706371813,-81.38912706371813
1.0400000238418579,-81.3946519905943,-81.3946519905943
1.0500000238418579,-81.40014614237506,-81.40014614237506
1.0600000238418579,-81.4056102776799,-81.4056102776799
1.0700000238418579,-81.41104513181392,-81.41104513181392
