node_type_id population model_template ei location dynamics_params pop_name morphology model_type model_processing
484679812 v1 ctdb:Biophys1.hoc e VisL4 484679812_fit.json e4Rorb Rorb-IRES2-Cre-D_Ai14-201967.03.01.01_496123870_m.swc biophysical aibs_axon
485836906 v1 ctdb:Biophys1.hoc e VisL4 485836906_fit.json e4Rorb Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc biophysical aibs_axon
486502127 v1 ctdb:Biophys1.hoc e VisL4 486502127_fit.json e4Rorb Rorb-IRES2-Cre-D_Ai14-206927.04.01.01_496253700_m.swc biophysical aibs_axon
314900022 v1 ctdb:Biophys1.hoc e VisL4 314900022_fit.json e4Scnn1a Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc biophysical aibs_axon
348592897 v1 ctdb:Biophys1.hoc e VisL4 348592897_fit.json e4Scnn1a Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc biophysical aibs_axon
395830185 v1 ctdb:Biophys1.hoc e VisL4 395830185_fit.json e4Scnn1a Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc biophysical aibs_axon
469798159 v1 ctdb:Biophys1.hoc e VisL4 469798159_fit.json e4Scnn1a Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc biophysical aibs_axon
476126528 v1 ctdb:Biophys1.hoc e VisL4 476126528_fit.json e4Scnn1a Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc biophysical aibs_axon
476218657 v1 ctdb:Biophys1.hoc e VisL4 476218657_fit.json e4Scnn1a Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc biophysical aibs_axon
477135941 v1 ctdb:Biophys1.hoc e VisL4 477135941_fit.json e4other Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc biophysical aibs_axon
