edge_type_id target_query source_query model_template dynamics_params delay
136 node_type_id=='487601493' * exp2syn AMPA_ExcToExc.json 1.7
137 node_type_id=='313861608' * exp2syn AMPA_ExcToInh.json 1.7
138 node_type_id=='321023397' * exp2syn AMPA_ExcToInh.json 1.7
139 node_type_id=='330080937' * exp2syn AMPA_ExcToInh.json 1.7
140 node_type_id=='333785962' * exp2syn AMPA_ExcToInh.json 1.7
141 node_type_id=='396608557' * exp2syn AMPA_ExcToInh.json 1.7
142 node_type_id=='469610831' * exp2syn AMPA_ExcToInh.json 1.7
143 node_type_id=='471077857' * exp2syn AMPA_ExcToInh.json 1.7
144 node_type_id=='471085676' * exp2syn AMPA_ExcToInh.json 1.7
145 node_type_id=='478793814' * exp2syn AMPA_ExcToInh.json 1.7
146 node_type_id=='482516713' * exp2syn AMPA_ExcToInh.json 1.7
147 node_type_id=='484742372' * exp2syn AMPA_ExcToInh.json 1.7
148 node_type_id=='486783119' * exp2syn AMPA_ExcToInh.json 1.7
149 node_type_id=='318331342' * exp2syn AMPA_ExcToInh.json 1.7
150 node_type_id=='333604946' * exp2syn AMPA_ExcToInh.json 1.7
151 node_type_id=='487667205' * exp2syn AMPA_ExcToInh.json 1.7
152 node_type_id=='314642645' * exp2syn AMPA_ExcToExc.json 1.7
153 node_type_id=='324025371' * exp2syn AMPA_ExcToExc.json 1.7
154 node_type_id=='329550137' * exp2syn AMPA_ExcToExc.json 1.7
155 node_type_id=='473020156' * exp2syn AMPA_ExcToExc.json 1.7
156 node_type_id=='476616076' * exp2syn AMPA_ExcToExc.json 1.7
157 node_type_id=='479179020' * exp2syn AMPA_ExcToExc.json 1.7
158 node_type_id=='480087928' * exp2syn AMPA_ExcToExc.json 1.7
159 node_type_id=='480124551' * exp2syn AMPA_ExcToExc.json 1.7
160 node_type_id=='484564503' * exp2syn AMPA_ExcToExc.json 1.7
161 node_type_id=='484679812' * exp2syn AMPA_ExcToExc.json 1.7
162 node_type_id=='485836906' * exp2syn AMPA_ExcToExc.json 1.7
163 node_type_id=='486502127' * exp2syn AMPA_ExcToExc.json 1.7
164 node_type_id=='474626527' * exp2syn AMPA_ExcToInh.json 1.7
165 node_type_id=='313862167' * exp2syn AMPA_ExcToInh.json 1.7
166 node_type_id=='473016550' * exp2syn AMPA_ExcToInh.json 1.7
167 node_type_id=='485058595' * exp2syn AMPA_ExcToInh.json 1.7
168 node_type_id=='318733871' * exp2syn AMPA_ExcToExc.json 1.7
169 node_type_id=='318808427' * exp2syn AMPA_ExcToExc.json 1.7
170 node_type_id=='321906005' * exp2syn AMPA_ExcToExc.json 1.7
171 node_type_id=='370351753' * exp2syn AMPA_ExcToExc.json 1.7
172 node_type_id=='386049446' * exp2syn AMPA_ExcToExc.json 1.7
173 node_type_id=='397351623' * exp2syn AMPA_ExcToExc.json 1.7
174 node_type_id=='422738880' * exp2syn AMPA_ExcToExc.json 1.7
175 node_type_id=='475459689' * exp2syn AMPA_ExcToExc.json 1.7
176 node_type_id=='476455864' * exp2syn AMPA_ExcToExc.json 1.7
177 node_type_id=='476457450' * exp2syn AMPA_ExcToExc.json 1.7
178 node_type_id=='314804042' * exp2syn AMPA_ExcToExc.json 1.7
179 node_type_id=='314822529' * exp2syn AMPA_ExcToExc.json 1.7
180 node_type_id=='314831019' * exp2syn AMPA_ExcToExc.json 1.7
181 node_type_id=='320207387' * exp2syn AMPA_ExcToExc.json 1.7
182 node_type_id=='323865917' * exp2syn AMPA_ExcToExc.json 1.7
183 node_type_id=='324025297' * exp2syn AMPA_ExcToExc.json 1.7
184 node_type_id=='349621141' * exp2syn AMPA_ExcToExc.json 1.7
185 node_type_id=='354190013' * exp2syn AMPA_ExcToExc.json 1.7
186 node_type_id=='468120757' * exp2syn AMPA_ExcToExc.json 1.7
187 node_type_id=='468193142' * exp2syn AMPA_ExcToExc.json 1.7
188 node_type_id=='469793303' * exp2syn AMPA_ExcToExc.json 1.7
189 node_type_id=='473601979' * exp2syn AMPA_ExcToExc.json 1.7
190 node_type_id=='476048909' * exp2syn AMPA_ExcToExc.json 1.7
191 node_type_id=='476049169' * exp2syn AMPA_ExcToExc.json 1.7
192 node_type_id=='476131588' * exp2syn AMPA_ExcToExc.json 1.7
193 node_type_id=='476216637' * exp2syn AMPA_ExcToExc.json 1.7
194 node_type_id=='480116737' * exp2syn AMPA_ExcToExc.json 1.7
195 node_type_id=='480169178' * exp2syn AMPA_ExcToExc.json 1.7
196 node_type_id=='480351780' * exp2syn AMPA_ExcToExc.json 1.7
197 node_type_id=='480353286' * exp2syn AMPA_ExcToExc.json 1.7
198 node_type_id=='466632464' * exp2syn AMPA_ExcToExc.json 1.7
199 node_type_id=='471410185' * exp2syn AMPA_ExcToExc.json 1.7
200 node_type_id=='471786879' * exp2syn AMPA_ExcToExc.json 1.7
201 node_type_id=='471789504' * exp2syn AMPA_ExcToExc.json 1.7
202 node_type_id=='471819401' * exp2syn AMPA_ExcToExc.json 1.7
203 node_type_id=='478110866' * exp2syn AMPA_ExcToInh.json 1.7
204 node_type_id=='481001895' * exp2syn AMPA_ExcToInh.json 1.7
205 node_type_id=='481136138' * exp2syn AMPA_ExcToInh.json 1.7
206 node_type_id=='482644550' * exp2syn AMPA_ExcToInh.json 1.7
207 node_type_id=='327962063' * exp2syn AMPA_ExcToInh.json 1.7
208 node_type_id=='464188580' * exp2syn AMPA_ExcToInh.json 1.7
209 node_type_id=='469753383' * exp2syn AMPA_ExcToInh.json 1.7
210 node_type_id=='473943881' * exp2syn AMPA_ExcToInh.json 1.7
211 node_type_id=='474267418' * exp2syn AMPA_ExcToInh.json 1.7
212 node_type_id=='475622680' * exp2syn AMPA_ExcToInh.json 1.7
213 node_type_id=='475622793' * exp2syn AMPA_ExcToInh.json 1.7
214 node_type_id=='479220013' * exp2syn AMPA_ExcToInh.json 1.7
215 node_type_id=='324493977' * exp2syn AMPA_ExcToInh.json 1.7
